,Amount,MerchantID,TransactionType,Location,IsFraud,DayOfWeek,Day,Month,IsWeekend,Hour_sin,Hour_cos
0,4189.27,688,1,7,0,3,1,1,0,0.0,1.0
1,2659.71,109,1,1,0,3,1,1,0,0.0,1.0
2,784.0,394,0,4,0,3,1,1,0,0.0,1.0
3,3514.4,944,0,5,0,3,1,1,0,0.0,1.0
4,369.07,475,0,6,0,3,1,1,0,0.0,1.0
5,3086.22,302,0,4,0,3,1,1,0,0.0,1.0
6,1466.9,902,1,5,0,3,1,1,0,0.0,1.0
7,917.21,266,0,4,0,3,1,1,0,0.0,1.0
8,1625.73,32,1,0,0,3,1,1,0,0.0,1.0
9,662.07,193,0,1,0,3,1,1,0,0.0,1.0
10,3895.94,349,1,7,0,3,1,1,0,0.0,1.0
11,944.94,359,0,9,0,3,1,1,0,0.0,1.0
12,2855.69,219,1,4,0,3,1,1,0,0.0,1.0
13,4313.82,617,1,9,0,3,1,1,0,0.0,1.0
14,4599.06,529,1,5,0,3,1,1,0,0.0,1.0
15,1524.05,462,0,8,0,3,1,1,0,0.0,1.0
16,2721.95,912,1,4,0,3,1,1,0,0.0,1.0
17,1357.76,522,1,4,0,3,1,1,0,0.0,1.0
18,4726.01,456,0,1,0,3,1,1,0,0.0,1.0
19,1814.95,134,1,2,0,3,1,1,0,0.0,1.0
20,269.8,51,1,9,0,3,1,1,0,0.0,1.0
21,512.1,196,0,5,0,3,1,1,0,0.0,1.0
22,2932.64,813,1,0,0,3,1,1,0,0.0,1.0
23,1177.11,878,1,5,0,3,1,1,0,0.0,1.0
24,3661.74,521,0,1,0,3,1,1,0,0.0,1.0
25,3664.95,348,0,7,0,3,1,1,0,0.0,1.0
26,4186.42,725,0,4,0,3,1,1,0,0.0,1.0
27,1542.27,44,0,2,0,3,1,1,0,0.0,1.0
28,4360.74,605,1,0,0,3,1,1,0,0.0,1.0
29,862.62,347,0,8,0,3,1,1,0,0.0,1.0
30,1062.73,595,1,0,0,3,1,1,0,0.0,1.0
31,4162.63,163,0,9,0,3,1,1,0,0.0,1.0
32,3439.54,781,1,7,0,3,1,1,0,0.0,1.0
33,3953.72,510,0,6,0,3,1,1,0,0.0,1.0
34,516.14,469,1,8,0,3,1,1,0,0.0,1.0
35,1069.35,322,1,6,0,3,1,1,0,0.0,1.0
36,1951.61,991,1,5,0,3,1,1,0,0.0,1.0
37,2084.95,369,1,9,0,3,1,1,0,0.0,1.0
38,3204.04,663,0,2,0,3,1,1,0,0.0,1.0
39,58.49,284,1,5,0,3,1,1,0,0.0,1.0
40,3472.91,788,1,8,0,3,1,1,0,0.0,1.0
41,1488.04,207,0,3,0,3,1,1,0,0.0,1.0
42,774.15,661,1,1,0,3,1,1,0,0.0,1.0
43,2346.77,31,1,2,0,3,1,1,0,0.0,1.0
44,616.82,4,1,3,0,3,1,1,0,0.0,1.0
45,2052.8,980,1,2,0,3,1,1,0,0.0,1.0
46,4833.08,251,1,0,0,3,1,1,0,0.0,1.0
47,4652.12,334,0,8,0,3,1,1,0,0.0,1.0
48,2486.55,978,1,6,0,3,1,1,0,0.0,1.0
49,3968.51,639,0,5,0,3,1,1,0,0.0,1.0
50,29.32,620,1,0,0,3,1,1,0,0.0,1.0
51,817.4,57,1,0,0,3,1,1,0,0.0,1.0
52,1801.08,456,1,9,0,3,1,1,0,0.0,1.0
53,740.67,970,0,7,0,3,1,1,0,0.0,1.0
54,2700.55,430,0,4,0,3,1,1,0,0.0,1.0
55,875.22,437,0,2,0,3,1,1,0,0.0,1.0
56,3021.84,685,1,8,0,3,1,1,0,0.0,1.0
57,3558.8,274,0,5,0,3,1,1,0,0.0,1.0
58,442.85,12,1,0,0,3,1,1,0,0.0,1.0
59,3836.6,277,1,1,0,3,1,1,0,0.0,1.0
60,4707.89,94,1,7,0,3,1,1,0,0.0,1.0
61,2069.71,400,0,4,0,3,1,1,0,0.0,1.0
62,1022.13,526,1,6,0,3,1,1,0,0.0,1.0
63,3916.07,576,1,9,0,3,1,1,0,0.0,1.0
64,1977.93,879,1,1,0,3,1,1,0,0.0,1.0
65,720.95,680,0,2,0,3,1,1,0,0.0,1.0
66,1788.8,546,0,5,0,3,1,1,0,0.0,1.0
67,3448.81,219,1,8,0,3,1,1,0,0.0,1.0
68,3443.84,555,1,1,0,3,1,1,0,0.0,1.0
69,493.08,412,0,3,0,3,1,1,0,0.0,1.0
70,4372.58,210,1,4,0,3,1,1,0,0.0,1.0
71,235.06,363,0,4,0,3,1,1,0,0.0,1.0
72,1708.71,112,1,8,0,3,1,1,0,0.0,1.0
73,3374.61,109,1,4,0,3,1,1,0,0.0,1.0
74,2298.56,469,1,5,0,3,1,1,0,0.0,1.0
75,2988.26,823,0,9,0,3,1,1,0,0.0,1.0
76,2015.55,447,0,8,0,3,1,1,0,0.0,1.0
77,1509.45,619,1,5,0,3,1,1,0,0.0,1.0
78,4611.36,94,1,3,0,3,1,1,0,0.0,1.0
